year,month,district,_id,price,square
2021,3,Ba Vì,83,4219.253012048192,1292.0843373493976
2021,3,Ba Đình,213,8494.906103286385,61.91079812206573
2021,3,Bắc Từ Liêm,233,4802.454931330472,60.01931330472103
2021,3,Cầu Giấy,349,11263.022922636103,77.61747851002865
2021,3,Chương Mỹ,41,3496.9268292682927,542.780487804878
2021,3,Gia Lâm,124,7828.758064516129,130.23790322580646
2021,3,Hai Bà Trưng,308,7145.792207792208,57.44155844155844
2021,3,Hà Đông,338,5730.346153846154,66.60650887573965
2021,3,Hoài Đức,103,10540.252427184467,830.1650485436893
2021,3,Hoàn Kiếm,48,10003.125,68.95833333333333
2021,3,Hoàng Mai,408,6408.490196078431,64.14313725490196
2021,3,Long Biên,271,8017.132841328414,141.84981549815498
2021,3,Mê Linh,52,7274.288461538462,701.6538461538462
2021,3,Mỹ Đức,5,1489.8,144.0
2021,3,Nam Từ Liêm,267,8663.359550561798,78.8314606741573
2021,3,Phú Xuyên,4,24457.5,10317.25
2021,3,Phúc Thọ,18,1701.5,138.15555555555557
2021,3,Quốc Oai,85,2509.494117647059,276.56470588235294
2021,3,Sóc Sơn,66,5151.69996969697,681.9242424242424
2021,3,Sơn Tây,141,2658.0851063829787,449.59574468085106
2021,3,Tây Hồ,234,12346.299145299145,85.28205128205128
2021,3,Thanh Oai,93,1964.5913978494623,87.64516129032258
2021,3,Thanh Trì,172,3796.9418604651164,59.26162790697674
2021,3,Thanh Xuân,397,8477.35516372796,65.98488664987406
2021,3,Thạch Thất,122,2840.655737704918,374.1311475409836
2021,3,Thường Tín,66,4930.787878787879,553.8636363636364
2021,3,Ứng Hòa,2,1650.0,113.5
2021,3,Đan Phượng,21,2497.6190476190477,70.57142857142857
2021,3,Đông Anh,70,8002.271428571428,408.64285714285717
2021,3,Đống Đa,463,8451.598269978402,64.47732181425486
